observation,algorithm,MR IGV Position,HMR Flow ,HMR/MR Ratio,Percentage Nitrogen in MR,Percentage Methane in MR,Percentage Ethane in MR,Percentage Propane in MR,Percentage Butane in MR,Ambient Condition,Low Pressure Propane/Mixed Refrigerant kettle level,LNG flow
0,initial,67.03779602050781,21107.59375,5.086884021759033,3.4130859375,42.969825744628906,42.61123275756836,10.676366806030272,0.249804675579071,25.657588958740234,59.044921875,13575.3798828125,-145.4736328125
0,Custom algorithm,67.03779602050781,21612.15889717843,90.03960766186108,3.125867566785536,42.92442079683443,42.73856792125377,10.24504584235114,0.23023565333160403,25.657588958740234,59.929929929929926,13690.926724548151
0,Gradient descent,66.60127706984349,21107.591812992745,4.740021714562317,0.4066640030941926,42.22870733222226,41.10298283632437,15.323102333815767,-0.0007421874906867,35.32610818925605,58.854205476280185,12408.699840961937
0,Bayesian,79.04209912640903,21692.558298021493,0.0,16.035038975295695,84.9219741821289,33.67975799516579,10.318230435068063,0.30853976453851323,9.168036259252803,87.23989228791869,13286.588593780709
0,Genetic Algorithm,56.757005184899526,22093.5835513856,138.84034018911967,0.012198582033753472,48.624861642885094,32.88853577053876,11.718871176331962,0.4852794232925206,36.803392259833,57.68383306630045,13640.899395207607
1,initial,52.58515930175781,17607.126953125,6.215993404388428,2.85791015625,42.20449447631836,43.97090148925781,10.588183403015137,0.2811718583106994,27.05110549926757,60.626953125,11672.666015625,-145.0390625
1,Custom algorithm,54.336266411675346,22019.50848895771,49.93793366120026,12.753539672484985,80.16111792792549,80.73371853604093,11.015506606918198,0.07625042611674353,27.05110549926757,68.81881881881881,13878.960937736603
1,Gradient descent,52.964999126503244,17607.125293228048,6.329394116895855,2.6535296328220284,41.892822936570155,44.64947969721106,7.058880839977064,0.9607030749320984,35.49330714136886,60.12506662734086,11414.97127000508
1,Bayesian,82.99989318847656,21218.82296417764,164.76524088903506,14.540486693333593,20.06745833125846,44.93021218436811,7.136934689482115,0.6917458984004714,3.399062744404641,55.157776517622324,12046.542287233655
1,Genetic Algorithm,18.55214250858541,22552.55162761235,75.52479681839881,3.9454788765421385,54.967882808841274,9.599371740411312,14.138955521322343,0.5843064622816133,36.38148515675676,83.73281452658884,13595.312814616866
2,initial,60.08740234375,20145.201171875,4.819856643676758,3.5263671875,43.268653869628906,42.95820617675781,9.767187118530272,0.3074609339237213,29.943971633911133,60.833984375,13388.1552734375,-145.7861328125
2,Custom algorithm,69.9558659306279,20163.804793074327,4.819856643676758,3.5263671875,43.43451253835623,43.078569269037104,9.432938549969647,0.34957420442312087,29.943971633911133,60.81081081081081,13570.984707693167
2,Gradient descent,60.10140484050498,20145.198730976757,4.309454463451402,5.094896453068941,41.46987922274275,44.58353657150292,6.11490553045587,0.9607030749320984,35.97683853164199,62.89551718533039,12327.32382157352
2,Bayesian,69.57575885803723,18606.858859214874,54.32718168047003,12.444018677834897,46.247519931881676,23.992582022448605,5.04339487116104,0.8891530422302284,14.380227226209614,68.46276978791045,13126.86519246111
2,Genetic Algorithm,62.87160695514565,21736.850338567245,0.24004731641239674,14.894468663212988,70.6168092870169,51.22838809564037,11.260502630402513,0.5223558976059725,35.825708959856605,81.28953994048982,13621.923177719962
3,initial,77.09476470947266,19162.55078125,5.156614780426025,2.703125,44.13857650756836,42.78886795043945,9.953125,0.3360546827316284,32.57224655151367,60.548828125,12687.99609375,-145.6103515625
3,Custom algorithm,66.79871283637154,22019.50848895771,39.34503864215778,5.401499155405405,23.966011070274376,42.8235682581996,10.390808689701664,0.33610049704182055,32.57224655151367,61.49149149149149,13326.51260528658
3,Gradient descent,76.78293898126867,19162.545370354972,6.103308961464791,4.556610544415889,41.947990411747014,45.237591427285224,20.802440643310547,-0.0007421874906867,35.0,60.20377532299608,12258.719108535064
3,Bayesian,75.36814720105271,22601.721649131923,0.0752500902087636,0.9804640822759616,34.84296798432678,36.3464971473799,19.147521494804355,0.848233965391671,35.20116467057316,41.57323327435047,12031.73332139209
3,Genetic Algorithm,59.293146453523775,22008.53381494836,3.6201730421112805,19.818121336586735,82.03554320211514,45.52641310030699,11.236377970090437,0.5796132376849739,36.235545898735595,70.31830319676509,13593.858079730833
4,initial,67.00633239746094,17399.6796875,6.411177158355713,3.2939453125,43.35498046875,42.32568359375,10.676366806030272,0.2884765565395355,28.709211349487305,57.8359375,11994.08203125,-145.5029296875
4,Custom algorithm,64.14005759910302,19416.997208145647,37.07513256664868,3.8760757828140644,2.1170814750908136,69.4286737222452,10.89056702347489,0.27931844450634075,28.709211349487305,57.967967967967965,13291.194805487943
4,Gradient descent,65.05782558418286,17399.675181397586,6.469075229091686,4.312823994361679,46.35847317821754,-0.007045830905553885,7.650740266064529,0.40138995266170246,35.0,55.913546834359295,12795.361187720975
4,Bayesian,54.35747057239991,20363.33794394368,85.25118930616961,14.181204030198371,79.05730733627875,42.23754537148379,6.591739952101188,0.9509761098614683,31.44786731791794,66.8573026773377,13483.871259979052
4,Genetic Algorithm,39.93615112286061,21478.44615597874,132.90043061783393,11.373652923720893,45.672344027638694,17.101390869793487,11.955673763079446,0.7743820584455117,36.40233362218836,76.36453803311207,13492.262595221951
5,initial,62.01022338867188,19232.28515625,5.137836933135986,3.05078125,43.28193664550781,43.32841873168945,10.01943302154541,0.2369921803474426,28.93852424621582,62.205078125,12854.625,-146.2939453125
5,Custom algorithm,70.12203188295717,22404.227547860362,4.5398121510182055,18.55514987643894,43.264481957848965,43.3335702798746,9.974343411557308,0.23697250702225417,28.93852424621582,62.21221221221221,13578.566617690854
5,Gradient descent,56.62019438644348,19232.274982334857,6.172831309959292,14.015028935478767,38.96657824079739,47.52665368381713,16.4671426891,0.640498370761634,35.48492524911126,62.71770804701373,12418.47642781841
5,Bayesian,82.99989318847656,20898.454131993112,158.4623248625087,22.293584290473714,56.98002700966324,53.68795861008771,18.17110147778013,0.5461914217182066,36.637995169398515,80.50720916447081,13092.268357924808
5,Genetic Algorithm,48.06383481394481,21846.843640659583,35.25956272576445,9.9037237886536,79.72769423448123,30.443999404255877,13.8938997613102,0.5115614810337016,36.47914375798897,63.35469596398871,13636.424585017905
6,initial,67.01435852050781,21342.677734375,5.021608829498291,3.3994140625,44.22822570800781,41.69814682006836,10.239550590515137,0.3355859220027923,28.850326538085938,60.990234375,13238.5322265625,-146.2548828125
