,LNG Flow,LNG Rundown Temperature,MR IGV Position,HMR Flow ,HMR/MR Ratio,Percentage Nitrogen in MR,Percentage Methane in MR,Percentage Ethane in MR,Percentage Propane in MR,Percentage Butane in MR,Ambient Condition,Low Pressure Propane/Mixed Refrigerant kettle level
18778,13575.3798828125,-145.4736328125,67.03779602050781,21107.59375,5.086884021759033,3.4130859375,42.969825744628906,42.61123275756836,10.676366806030272,0.249804675579071,25.657588958740234,59.044921875
10519,11672.666015625,-145.0390625,52.58515930175781,17607.126953125,6.215993404388428,2.85791015625,42.20449447631836,43.97090148925781,10.588183403015137,0.2811718583106994,27.05110549926757,60.626953125
31757,13388.1552734375,-145.7861328125,60.08740234375,20145.201171875,4.819856643676758,3.5263671875,43.268653869628906,42.95820617675781,9.767187118530272,0.3074609339237213,29.943971633911133,60.833984375
6400,12687.99609375,-145.6103515625,77.09476470947266,19162.55078125,5.156614780426025,2.703125,44.13857650756836,42.78886795043945,9.953125,0.3360546827316284,32.57224655151367,60.548828125
17354,11994.08203125,-145.5029296875,67.00633239746094,17399.6796875,6.411177158355713,3.2939453125,43.35498046875,42.32568359375,10.676366806030272,0.2884765565395355,28.709211349487305,57.8359375
7445,12854.625,-146.2939453125,62.01022338867188,19232.28515625,5.137836933135986,3.05078125,43.28193664550781,43.32841873168945,10.01943302154541,0.2369921803474426,28.93852424621582,62.205078125
27704,13238.5322265625,-146.2548828125,67.01435852050781,21342.677734375,5.021608829498291,3.3994140625,44.22822570800781,41.69814682006836,10.239550590515137,0.3355859220027923,28.850326538085938,60.990234375
18975,9791.7119140625,-148.02734375,55.03781127929688,16166.111328125,5.761695861816406,3.4228515625,42.89345932006836,42.70088195800781,10.67910099029541,0.236328125,29.961610794067383,58.59765625
4706,13011.919921875,-146.5869140625,74.00897979736328,20335.119140625,5.800171852111816,3.63232421875,43.22216796875,43.44462966918945,9.23671817779541,0.4364452958106994,28.99144172668457,60.404296875
11259,12745.037109375,-145.087890625,55.0,18715.8359375,5.411850452423096,2.9091796875,43.235450744628906,43.310157775878906,10.14589786529541,0.356757789850235,27.844879150390625,62.689453125
29355,5.630517262034118e-05,-105.771484375,0.0,3437.391845703125,13.12775993347168,2.083984375,59.53984451293945,30.09033203125,7.764941215515137,0.4248827993869781,27.72140312194824,62.810546875
987,10310.595703125,-149.1748046875,45.99999237060547,17033.333984375,5.3910231590271,3.75537109375,43.46123123168945,42.36885070800781,10.13222599029541,0.1932031214237213,31.302207946777344,60.26953125
11840,12422.841796875,-144.5556640625,55.99998474121094,18574.345703125,5.24110746383667,2.90673828125,43.05781555175781,43.6123046875,10.01259708404541,0.2976171672344208,26.6101188659668,61.708984375
22209,8127.2802734375,-146.4306640625,63.39699935913086,12434.267578125,5.780604362487793,3.10400390625,43.160743713378906,42.69091796875,10.666796684265137,0.3034375011920929,28.850326538085938,61.40234375
13119,12024.9375,-145.888671875,52.0,17763.197265625,5.8782830238342285,2.98583984375,42.97314453125,43.59902572631836,10.044042587280272,0.3085546791553497,27.809600830078125,61.345703125
5659,12265.892578125,-146.3134765625,60.094764709472656,18857.625,5.322064399719238,3.02099609375,43.268653869628906,43.45458984375,9.634570121765137,0.5194531083106995,31.19637107849121,59.041015625
25269,12296.9306640625,-147.3486328125,62.0819091796875,19193.57421875,5.795326232910156,3.1630859375,44.64990234375,41.0888671875,10.73583984375,0.3055859208106994,30.68482780456543,62.9765625
10993,12576.333984375,-145.224609375,50.0,18444.79296875,5.280879974365234,2.9638671875,43.15742492675781,43.77334213256836,9.81093692779541,0.2454687505960464,30.66718864440918,63.873046875
17011,12305.013671875,-146.09375,65.00628662109375,18136.240234375,6.810908794403076,3.1884765625,43.10762023925781,42.96318435668945,10.33046817779541,0.2681640684604645,30.29676055908203,63.396484375
7528,12714.9609375,-145.9130859375,65.01022338867188,19436.1484375,4.712114334106445,2.8134765625,43.73017883300781,43.17402648925781,9.951757431030272,0.2529687583446502,32.13125991821289,61.748046875
17195,13763.8056640625,-145.6494140625,65.00633239746094,20445.875,4.954348087310791,3.27294921875,43.79658508300781,42.70751953125,9.884081840515137,0.2756249904632568,30.64954948425293,62.58203125
6509,12280.412109375,-146.044921875,75.09476470947266,18856.46484375,5.330540180206299,2.99462890625,43.55253982543945,42.80215072631836,10.25527286529541,0.3058984279632568,28.92088508605957,58.275390625
23892,13465.4111328125,-145.2099609375,57.560001373291016,20369.7578125,5.11961555480957,3.10302734375,43.700294494628906,42.73408508300781,10.080273628234863,0.3408593535423279,29.838134765625,61.23046875
25988,13318.71484375,-144.951171875,61.081809997558594,19843.998046875,4.8342461585998535,3.12939453125,43.58906555175781,42.84199523925781,10.106249809265137,0.2686327993869781,28.88560485839844,61.3359375
12069,12682.119140625,-145.4248046875,57.0,18398.890625,5.2193603515625,2.50732421875,43.1806640625,44.704689025878906,9.25722599029541,0.2962109446525574,25.41063690185547,62.85546875
2928,12336.76171875,-147.4462890625,73.10299682617188,20966.16796875,4.738122463226318,3.6845703125,43.18730545043945,43.04287338256836,9.702245712280272,0.2936718761920929,29.5206241607666,61.2890625
30556,12006.86328125,-147.0361328125,58.12477493286133,17479.185546875,6.229050159454346,3.5625,43.0478515625,43.02627182006836,10.049511909484863,0.171914055943489,26.52192115783692,60.7734375
12175,12123.1171875,-144.4873046875,62.00001525878906,18441.02734375,6.997486591339111,2.9404296875,43.39150619506836,43.29023742675781,9.98046875,0.2920312583446502,27.139301300048828,60.439453125
2546,0.0,27.36328125,0.0,2131.35498046875,13.106075286865234,0.04931640625,84.91865539550781,7.923925876617432,3.1294920444488525,0.7827734351158142,28.93852424621582,49.4921875
27062,13090.458984375,-144.7314453125,54.51441192626953,20525.212890625,5.197398662567139,3.09228515625,44.36269760131836,42.91836166381836,9.292089462280272,0.2752343714237213,27.968355178833008,60.0390625
28073,13500.6455078125,-144.5654296875,52.880653381347656,21028.37890625,4.9093546867370605,3.09521484375,44.53369140625,42.37881088256836,9.600390434265137,0.2909374833106994,25.833984375,61.865234375
8551,12705.97265625,-145.37109375,71.51018524169922,19063.689453125,5.09315299987793,2.98876953125,43.5126953125,43.21718978881836,9.822558403015137,0.3835156261920929,30.931779861450195,61.341796875
14685,12201.9375,-145.6787109375,50.00001525878906,17699.365234375,5.49065637588501,3.09619140625,42.95654296875,43.56582260131836,10.042675971984863,0.2993359267711639,30.42023658752441,63.14453125
172,11933.671875,-146.8408203125,77.99866485595703,19299.3984375,4.895129203796387,3.4150390625,41.99531555175781,43.92275619506836,10.464452743530272,0.1191015616059303,31.60207748413086,58.0390625
11655,12634.06640625,-144.4677734375,56.99996948242188,18375.60546875,5.44891357421875,2.9091796875,43.17070388793945,43.43798828125,10.02626895904541,0.3028906285762787,29.22075462341309,62.255859375
30073,13412.34765625,-146.4990234375,67.0580062866211,19507.0703125,4.663135051727295,3.3251953125,44.63662338256836,41.16191482543945,10.4931640625,0.2774609327316284,27.15694046020508,62.029296875
27045,12952.673828125,-144.7265625,54.014404296875,20973.380859375,5.19807767868042,3.0556640625,44.30459213256836,42.61455154418945,9.687207221984863,0.2855468690395355,28.05655288696289,59.4296875
11205,12579.099609375,-144.9462890625,55.0,18504.931640625,5.677065849304199,2.89990234375,43.04121398925781,43.55586242675781,10.08984375,0.3651171922683716,28.550457000732425,62.177734375
1592,12703.552734375,-147.314453125,78.51419067382812,19679.701171875,4.837640285491943,3.50634765625,42.056739807128906,42.78388977050781,11.351758003234863,0.2150390595197677,30.914140701293945,59.923828125
27573,13313.6904296875,-145.52734375,66.91436004638672,20915.556640625,4.988468647003174,2.716796875,44.326171875,42.81875228881836,9.74257755279541,0.283984363079071,28.09183120727539,63.068359375
29700,13597.2333984375,-145.712890625,58.020652770996094,20443.78125,4.895608901977539,3.51220703125,43.95429992675781,41.766212463378906,10.42138671875,0.238320305943489,28.99144172668457,62.0859375
513,9078.85546875,-146.4599609375,56.03221893310547,15611.087890625,6.247873783111572,3.8291015625,45.31562805175781,40.42646408081055,10.189648628234863,0.1567187458276748,30.102725982666016,54.80078125
5880,9023.888671875,-146.4599609375,48.09477996826172,14773.244140625,5.518992900848389,2.50732421875,42.646095275878906,40.629005432128906,13.614453315734863,0.4878515601158142,27.73904228210449,58.046875
11759,12509.61328125,-144.4921875,56.99996948242188,18118.1875,5.470617771148682,2.9482421875,43.22216796875,43.42470932006836,10.05224609375,0.3040624856948852,27.91543769836425,62.09765625
9827,13147.08984375,-145.7421875,72.54232025146484,19600.251953125,5.231574058532715,2.90087890625,43.027931213378906,43.59902572631836,10.160937309265137,0.2290234267711639,30.33203887939453,63.548828125
21068,13198.8642578125,-146.2255859375,72.00995635986328,19712.0390625,5.828118801116943,3.38330078125,42.93994140625,43.5458984375,9.843066215515137,0.2142968773841858,26.116214752197266,64.626953125
30992,12232.41015625,-146.66015625,59.07114410400391,17459.060546875,5.50201416015625,2.99169921875,42.98808670043945,41.5205078125,11.937597274780272,0.4720312356948852,30.87886047363281,60.58203125
9177,13101.802734375,-145.4296875,69.5423812866211,20134.62109375,5.186734199523926,2.9541015625,42.99140930175781,43.63554763793945,10.03994083404541,0.3004296720027923,31.05525588989257,61.30078125
22592,13500.8583984375,-145.9375,67.54900360107422,20120.505859375,5.425556659698486,3.14013671875,43.92109680175781,42.69755935668945,9.71865177154541,0.4624999761581421,26.504281997680664,60.255859375
24348,13470.9716796875,-144.7509765625,60.37799835205078,20440.634765625,5.832515716552734,3.14111328125,42.6328125,43.17070388793945,10.673632621765137,0.310351550579071,32.90739440917969,62.294921875
9189,13146.744140625,-145.5029296875,71.0423583984375,20178.388671875,5.222801685333252,3.13037109375,43.177345275878906,43.41474914550781,9.923047065734863,0.2658593654632568,28.14474868774414,62.201171875
4566,12867.76171875,-145.9228515625,68.0090103149414,20010.041015625,4.802524566650391,3.658203125,43.26201248168945,42.75732421875,9.806836128234863,0.4285546839237213,26.821792602539062,61.8828125
16527,13453.6591796875,-145.458984375,68.00627136230469,21276.130859375,4.995206832885742,3.0546875,43.90117263793945,42.81875228881836,9.931249618530272,0.2566796839237213,29.78521728515625,59.810546875
22701,13429.0361328125,-145.8251953125,64.47599792480469,20427.03515625,5.020725727081299,3.0810546875,43.80322265625,40.93447494506836,11.659375190734863,0.4732812345027923,30.29676055908203,60.53515625
18324,13005.314453125,-146.396484375,70.03775024414062,19968.04296875,5.015203475952148,3.5537109375,43.13418197631836,42.96318435668945,10.008496284484863,0.2805078029632568,27.703763961791992,62.345703125
764,10063.763671875,-148.3349609375,50.33003234863281,17032.552734375,5.537227630615234,3.63623046875,43.5458984375,42.59463119506836,9.929883003234863,0.2042968720197677,30.773025512695312,59.908203125
